no,departement,indD,Deux roues,Transports en commun,Marche à pied,Pas de transport,"Voiture, camion, fourgonnette",Part des ménages ayant au moins 1 voiture 2016
1,Ain,1,7468,17610,13820,11843,230584,90.7
2,Aisne,3,4303,10435,13818,10338,158439,83
3,Allier,7,3606,3823,8562,8720,101056,84.6
4,Alpes-de-Haute-Provence,15,1210,1746,5383,3611,48997,87.5
5,Hautes-Alpes,25,1444,2220,7068,3726,43894,88.1
6,Alpes-Maritimes,42,37203,56715,39906,16849,278580,77.4
7,Ard��che,73,2837,2885,7027,6155,105253,89.7
8,Ardennes,37,2027,2874,8210,5522,83951,82.5
9,Ari��ge,41,1267,1257,3624,3808,46633,87.3
10,Aube,62,4157,5301,7666,5685,93133,82.6
11,Aude,68,3858,3274,9648,6846,103904,86.2
12,Aveyron,72,2181,1868,10541,8685,87726,88.3
13,Bouches-du-Rh��ne,20,36626,110744,54821,24734,538538,78.6
14,Calvados,24,8360,15188,16609,13806,222191,84.9
15,Cantal,69,951,831,6357,4875,46697,86.9
16,Charente,38,3027,4215,7176,7737,115905,88.1
17,Charente-Maritime,57,10761,7462,11542,12975,195351,87.7
18,Cher,70,3527,3941,7254,6451,95621,85.8
19,Corr��ze,89,1729,1855,6112,5430,80203,87.7
21,C��te-d'Or,88,8550,24962,17193,10448,162979,82.7
22,C��tes-d'Armor,21,5670,5501,11172,13143,191802,89
23,Creuse,28,614,692,3401,4328,35125,86.2
24,Dordogne,34,3597,2945,8987,10190,127131,88.5
25,Doubs,55,5708,14390,16032,9837,176706,85.6
26,Dr��me,18,6616,8276,11409,9950,162954,87.9
27,Eure,27,5145,14205,12166,11099,202697,88.5
28,Eure-et-Loir,35,4741,17651,9442,8542,138332,87.7
29,Finist��re,36,8512,17043,18218,17330,294538,87.5
30,Gard,40,8055,10804,15415,12759,219656,86.1
31,Haute-Garonne,44,34334,76822,26977,19684,431734,82.8
32,Gers,95,1305,1246,4121,5983,62911,90.6
33,Gironde,96,38903,73426,28386,24197,487144,83.9
34,H�rault,8,22294,36661,27832,17306,313753,82.4
35,Ille-et-Vilaine,10,17517,43853,23573,21998,339934,85.5
36,Indre,66,2365,2277,5778,5473,68343,86.1
37,Indre-et-Loire,67,10774,22026,13508,11208,188251,84
38,Is��re,51,24898,59835,30572,19710,394381,85.6
39,Jura,50,2369,2539,8092,5274,88223,88
40,Landes,53,4645,2923,6304,7578,136304,91.4
41,Loir-et-Cher,54,4342,5073,6639,6813,108312,88.1
42,Loire,56,5475,22240,19495,11619,230854,82.6
43,Haute-Loire,87,1354,1527,7531,5215,76375,88
44,Loire-Atlantique,2,29941,65794,25290,24787,438038,85.7
45,Loiret,58,9539,25210,14405,11141,214438,85.8
46,Lot,59,1354,1244,4478,4610,53698,89
47,Lot-et-Garonne,61,3671,2422,6943,7323,104096,88.5
48,Loz��re,79,362,382,3624,2741,23864,88.9
49,Maine-et-Loire,90,14828,17766,17761,16855,264192,86.4
50,Manche,91,5615,5264,11476,11895,162978,87.7
51,Marne,74,7278,17456,19212,11395,176627,82
52,Haute-Marne,76,1923,1520,6152,4177,55029,85.1
53,Mayenne,92,3175,3073,7581,9696,103885,88.7
54,Meurthe-et-Moselle,94,6391,28929,20302,10321,224791,81
55,Meuse,93,1589,1782,6019,4195,60352,85.6
56,Morbihan,77,8588,9163,13533,15299,240676,88.1
57,Moselle,14,5664,33133,22848,13888,347555,85.7
58,Ni��vre,26,1933,2205,5644,4939,59462,84
59,Nord,49,32430,111723,58938,36269,734209,78.4
60,Oise,60,6576,36678,18016,13784,264712,87
61,Orne,75,2653,2275,7150,7706,87217,86.4
62,Pas-de-Calais,16,13650,25080,29173,22001,445913,82.1
63,Puy-de-D��me,17,6474,18078,19196,12967,209765,85.3
64,Pyr�n�es-Atlantiques,19,9018,10097,12932,13368,227312,87.8
65,Hautes-Pyr�n�es,22,2502,1566,5470,4484,72130,87.5
66,Pyr�n�es-Orientales,78,5712,5435,10691,7264,128421,84.2
67,Bas-Rhin,23,33307,62930,27868,19327,341698,82
68,Haut-Rhin,32,12030,23274,17725,11570,251785,86.7
69,Rh��ne,86,36180,182794,62383,28065,463795,76.1
70,Haute-Sa��ne,39,2063,2546,5392,4574,79472,88.2
71,Sa��ne-et-Loire,46,5632,6761,13731,11433,178276,86.7
72,Sarthe,63,8598,15743,11850,11761,176384,85.1
73,Savoie,85,5944,12195,17336,8848,145071,87.7
74,Haute-Savoie,9,16182,24426,26106,14232,294138,89.6
75,Paris,11,95703,694723,107686,53834,124833,35.2
76,Seine-Maritime,12,13131,49722,32652,19296,374396,80.5
