Code géographique,Libellé géographique,Statut de la commune 2017,Département,Région
01001,L'Abergement-Clémenciat,R,01,84
01002,L'Abergement-de-Varey,R,01,84
01004,Ambérieu-en-Bugey,C,01,84
01005,Ambérieux-en-Dombes,R,01,84
01006,Ambléon,R,01,84
01007,Ambronay,R,01,84
01008,Ambutrix,B,01,84
01009,Andert-et-Condon,R,01,84
01010,Anglefort,R,01,84
01011,Apremont,R,01,84
01012,Aranc,R,01,84
01013,Arandas,R,01,84
01014,Arbent,B,01,84
01015,Arboys en Bugey,R,01,84
01016,Arbigny,R,01,84
01017,Argis,R,01,84
01019,Armix,R,01,84
01021,Ars-sur-Formans,R,01,84
01022,Artemare,R,01,84
01023,Asnières-sur-Saône,R,01,84
01024,Attignat,R,01,84
01025,Bâgé-Dommartin,R,01,84
01026,Bâgé-le-Châtel,R,01,84
01027,Balan,B,01,84
01028,Baneins,R,01,84
01029,Beaupont,R,01,84
01030,Beauregard,B,01,84
01031,Bellignat,B,01,84
01032,Béligneux,C,01,84
01033,Valserhône,C,01,84
01034,Belley,C,01,84
01035,Belleydoux,R,01,84
01036,Valromey-sur-Séran,R,01,84
01037,Bénonces,R,01,84
01038,Bény,R,01,84
01039,Béon,R,01,84
01040,Béréziat,R,01,84
01041,Bettant,B,01,84
01042,Bey,R,01,84
01043,Beynost,B,01,84
01044,Billiat,R,01,84
01045,Birieux,R,01,84
01046,Biziat,R,01,84
01047,Blyes,R,01,84
01049,La Boisse,B,01,84
01050,Boissey,R,01,84
01051,Bolozon,R,01,84
01052,Bouligneux,R,01,84
01053,Bourg-en-Bresse,C,01,84
01054,Bourg-Saint-Christophe,B,01,84
01056,Boyeux-Saint-Jérôme,R,01,84
01057,Boz,R,01,84
01058,Brégnier-Cordon,R,01,84
01060,Brénod,R,01,84
01061,Brens,B,01,84
01062,Bressolles,R,01,84
01063,Brion,B,01,84
01064,Briord,R,01,84
01065,Buellas,C,01,84
01066,La Burbanche,R,01,84
01067,Ceignes,R,01,84
01068,Cerdon,R,01,84
01069,Certines,B,01,84
01071,Cessy,B,01,84
01072,Ceyzériat,C,01,84
01073,Ceyzérieu,R,01,84
01074,Chalamont,R,01,84
01075,Chaleins,R,01,84
01076,Chaley,R,01,84
01077,Challes-la-Montagne,R,01,84
01078,Challex,R,01,84
01079,Champagne-en-Valromey,R,01,84
01080,Champdor-Corcelles,R,01,84
01081,Champfromier,R,01,84
01082,Chanay,R,01,84
01083,Chaneins,R,01,84
01084,Chanoz-Châtenay,R,01,84
01085,La Chapelle-du-Châtelard,R,01,84
01087,Charix,R,01,84
01088,Charnoz-sur-Ain,R,01,84
01089,Château-Gaillard,R,01,84
01090,Châtenay,R,01,84
01092,Châtillon-la-Palud,R,01,84
01093,Châtillon-sur-Chalaronne,I,01,84
01094,Chavannes-sur-Reyssouze,R,01,84
01095,Nivigne et Suran,R,01,84
01096,Chaveyriat,R,01,84
01098,Chazey-Bons,R,01,84
01099,Chazey-sur-Ain,R,01,84
01100,Cheignieu-la-Balme,R,01,84
01101,Chevillard,R,01,84
01102,Chevroux,R,01,84
01103,Chevry,B,01,84
01104,Chézery-Forens,R,01,84
01105,Civrieux,R,01,84
01106,Cize,R,01,84
01107,Cleyzieu,R,01,84
01108,Coligny,R,01,84
01109,Collonges,R,01,84
01110,Colomieu,R,01,84
01111,Conand,R,01,84
01112,Condamine,B,01,84
01113,Condeissiat,R,01,84
01114,Confort,R,01,84
01115,Confrançon,R,01,84
01116,Contrevoz,R,01,84
01117,Conzieu,R,01,84
01118,Corbonod,B,01,84
01121,Corlier,R,01,84
01123,Cormoranche-sur-Saône,R,01,84
01124,Cormoz,R,01,84
01125,Corveissiat,R,01,84
01127,Courmangoux,R,01,84
01128,Courtes,R,01,84
01129,Crans,R,01,84
01130,Bresse Vallons,R,01,84
01133,Cressin-Rochefort,R,01,84
01134,Crottet,C,01,84
01135,Crozet,C,01,84
01136,Cruzilles-lès-Mépillat,R,01,84
01138,Culoz,I,01,84
01139,Curciat-Dongalon,R,01,84
01140,Curtafond,R,01,84
01141,Cuzieu,R,01,84
01142,Dagneux,B,01,84
01143,Divonne-les-Bains,I,01,84
01145,Dompierre-sur-Veyle,R,01,84
01146,Dompierre-sur-Chalaronne,R,01,84
01147,Domsure,R,01,84
01148,Dortan,R,01,84
01149,Douvres,R,01,84
01150,Drom,R,01,84
01151,Druillat,R,01,84
01152,Échallon,R,01,84
01153,Échenevex,R,01,84
01155,Évosges,R,01,84
01156,Faramans,R,01,84
01157,Fareins,B,01,84
01158,Farges,R,01,84
01159,Feillens,I,01,84
01160,Ferney-Voltaire,B,01,84
01162,Flaxieu,R,01,84
01163,Foissiat,R,01,84
01165,Francheleins,B,01,84
01166,Frans,B,01,84
01167,Garnerans,R,01,84
01169,Genouilleux,R,01,84
01170,Béard-Géovreissiat,B,01,84
01171,Géovreisset,B,01,84
01173,Gex,C,01,84
01174,Giron,R,01,84
01175,Gorrevod,B,01,84
01177,Grand-Corent,R,01,84
01179,Grièges,R,01,84
01180,Grilly,R,01,84
01181,Groissiat,B,01,84
01183,Guéreins,B,01,84
01184,Hautecourt-Romanèche,R,01,84
01185,Plateau d'Hauteville,I,01,84
01187,Haut Valromey,R,01,84
01188,Illiat,R,01,84
01189,Injoux-Génissiat,R,01,84
01190,Innimond,R,01,84
01191,Izenave,R,01,84
01192,Izernore,R,01,84
01193,Izieu,R,01,84
01194,Jassans-Riottier,B,01,84
01195,Jasseron,R,01,84
01196,Jayat,B,01,84
01197,Journans,R,01,84
01198,Joyeux,R,01,84
01199,Jujurieux,C,01,84
01200,Labalme,R,01,84
01202,Lagnieu,C,01,84
01203,Laiz,C,01,84
01204,Le Poizat-Lalleyriat,R,01,84
01206,Lantenay,R,01,84
01207,Lapeyrouse,R,01,84
01208,Lavours,R,01,84
01209,Léaz,R,01,84
01210,Lélex,R,01,84
01211,Lent,R,01,84
01212,Lescheroux,R,01,84
01213,Leyment,R,01,84
01214,Leyssard,R,01,84
01215,Surjoux-Lhopital,R,01,84
01216,Lhuis,R,01,84
01219,Lompnas,R,01,84
01224,Loyettes,I,01,84
01225,Lurcy,R,01,84
01227,Magnieu,R,01,84
01228,Maillat,B,01,84
01229,Malafretaz,R,01,84
01230,Mantenay-Montlin,R,01,84
01231,Manziat,R,01,84
01232,Marboz,R,01,84
01233,Marchamp,R,01,84
01234,Marignieu,R,01,84
01235,Marlieux,R,01,84
01236,Marsonnas,R,01,84
01237,Martignat,B,01,84
01238,Massieux,B,01,84
01239,Massignieu-de-Rives,R,01,84
01240,Matafelon-Granges,R,01,84
01241,Meillonnas,R,01,84
01242,Mérignat,R,01,84
01243,Messimy-sur-Saône,B,01,84
01244,Meximieux,C,01,84
01245,Bohas-Meyriat-Rignat,R,01,84
01246,Mézériat,R,01,84
01247,Mijoux,R,01,84
01248,Mionnay,R,01,84
01249,Miribel,B,01,84
01250,Misérieux,B,01,84
01252,Mogneneins,R,01,84
01254,Montagnat,C,01,84
01255,Montagnieu,R,01,84
01257,Montanges,R,01,84
01258,Montceaux,R,01,84
01259,Montcet,R,01,84
01260,Le Montellier,R,01,84
01261,Monthieux,R,01,84
01262,Montluel,B,01,84
01263,Montmerle-sur-Saône,B,01,84
01264,Montracol,R,01,84
01265,Montréal-la-Cluse,C,01,84
01266,Montrevel-en-Bresse,C,01,84
01267,Nurieux-Volognat,R,01,84
01268,Murs-et-Gélignieux,R,01,84
01269,Nantua,C,01,84
01272,Neuville-les-Dames,R,01,84
01273,Neuville-sur-Ain,R,01,84
01274,Les Neyrolles,B,01,84
01275,Neyron,B,01,84
01276,Niévroz,R,01,84
01277,Nivollet-Montgriffon,R,01,84
01279,Oncieu,R,01,84
01280,Ordonnaz,R,01,84
01281,Ornex,B,01,84
01282,Outriaz,R,01,84
01283,Oyonnax,C,01,84
01284,Ozan,R,01,84
01285,Parcieux,B,01,84
01286,Parves et Nattages,R,01,84
01288,Péron,R,01,84
01289,Péronnas,B,01,84
01290,Pérouges,B,01,84
01291,Perrex,R,01,84
01293,Peyriat,R,01,84
01294,Peyrieu,R,01,84
01295,Peyzieux-sur-Saône,R,01,84
01296,Pirajoux,R,01,84
01297,Pizay,R,01,84
01298,Plagne,R,01,84
01299,Le Plantay,R,01,84
01301,Polliat,R,01,84
01302,Pollieu,R,01,84
01303,Poncin,R,01,84
01304,Pont-d'Ain,I,01,84
01305,Pont-de-Vaux,C,01,84
01306,Pont-de-Veyle,C,01,84
01307,Port,B,01,84
01308,Pougny,R,01,84
01309,Pouillat,R,01,84
01310,Prémeyzel,R,01,84
01311,Prémillieu,R,01,84
01313,Prévessin-Moëns,B,01,84
01314,Priay,R,01,84
01317,Ramasse,R,01,84
01318,Rancé,R,01,84
01319,Relevant,R,01,84
01320,Replonges,I,01,84
01321,Revonnas,B,01,84
01322,Reyrieux,B,01,84
01323,Reyssouze,R,01,84
01325,Rignieux-le-Franc,R,01,84
01328,Romans,R,01,84
01329,Rossillon,R,01,84
01330,Ruffieu,R,01,84
01331,Saint-Alban,R,01,84
01332,Saint-André-de-Bâgé,R,01,84
01333,Saint-André-de-Corcy,I,01,84
01334,Saint-André-d'Huiriat,R,01,84
01335,Saint-André-le-Bouchoux,R,01,84
01336,Saint-André-sur-Vieux-Jonc,R,01,84
01337,Saint-Bénigne,B,01,84
01338,Groslée-Saint-Benoit,R,01,84
01339,Saint-Bernard,B,01,84
01342,Sainte-Croix,R,01,84
01343,Saint-Cyr-sur-Menthon,R,01,84
01344,Saint-Denis-lès-Bourg,B,01,84
01345,Saint-Denis-en-Bugey,B,01,84
01346,Saint-Didier-d'Aussiat,R,01,84
01347,Saint-Didier-de-Formans,B,01,84
01348,Saint-Didier-sur-Chalaronne,C,01,84
01349,Saint-Éloi,R,01,84
01350,Saint-Étienne-du-Bois,R,01,84
01351,Saint-Étienne-sur-Chalaronne,R,01,84
01352,Saint-Étienne-sur-Reyssouze,R,01,84
01353,Sainte-Euphémie,B,01,84
01354,Saint-Genis-Pouilly,B,01,84
01355,Saint-Genis-sur-Menthon,R,01,84
01356,Saint-Georges-sur-Renon,R,01,84
01357,Saint-Germain-de-Joux,R,01,84
01358,Saint-Germain-les-Paroisses,R,01,84
01359,Saint-Germain-sur-Renon,R,01,84
01360,Saint-Jean-de-Gonville,R,01,84
01361,Saint-Jean-de-Niost,R,01,84
01362,Saint-Jean-de-Thurigneux,R,01,84
01363,Saint-Jean-le-Vieux,B,01,84
01364,Saint-Jean-sur-Reyssouze,R,01,84
01365,Saint-Jean-sur-Veyle,R,01,84
01366,Sainte-Julie,R,01,84
01367,Saint-Julien-sur-Reyssouze,R,01,84
01368,Saint-Julien-sur-Veyle,R,01,84
01369,Saint-Just,B,01,84
01370,Saint-Laurent-sur-Saône,B,01,84
01371,Saint-Marcel,R,01,84
01372,Saint-Martin-de-Bavel,R,01,84
01373,Saint-Martin-du-Frêne,C,01,84
01374,Saint-Martin-du-Mont,R,01,84
01375,Saint-Martin-le-Châtel,R,01,84
01376,Saint-Maurice-de-Beynost,B,01,84
01378,Saint-Maurice-de-Gourdans,R,01,84
01379,Saint-Maurice-de-Rémens,R,01,84
01380,Saint-Nizier-le-Bouchoux,R,01,84
01381,Saint-Nizier-le-Désert,R,01,84
01382,Sainte-Olive,R,01,84
01383,Saint-Paul-de-Varax,R,01,84
01384,Saint-Rambert-en-Bugey,R,01,84
01385,Saint-Rémy,B,01,84
01386,Saint-Sorlin-en-Bugey,B,01,84
01387,Saint-Sulpice,R,01,84
01388,Saint-Trivier-de-Courtes,R,01,84
01389,Saint-Trivier-sur-Moignans,R,01,84
01390,Saint-Vulbas,R,01,84
01391,Salavre,R,01,84
01392,Samognat,R,01,84
01393,Sandrans,R,01,84
01396,Sault-Brénaz,R,01,84
01397,Sauverny,R,01,84
01398,Savigneux,R,01,84
01399,Ségny,R,01,84
01400,Seillonnaz,R,01,84
01401,Sergy,B,01,84
01402,Sermoyer,R,01,84
01403,Serrières-de-Briord,R,01,84
01404,Serrières-sur-Ain,R,01,84
01405,Servas,R,01,84
01406,Servignat,R,01,84
01407,Seyssel,B,01,84
01408,Simandre-sur-Suran,R,01,84
01410,Sonthonnax-la-Montagne,R,01,84
01411,Souclin,R,01,84
01412,Sulignat,R,01,84
01415,Talissieu,R,01,84
01416,Tenay,R,01,84
01418,Thil,R,01,84
01419,Thoiry,B,01,84
01420,Thoissey,B,01,84
01421,Torcieu,R,01,84
01422,Tossiat,R,01,84
01423,Toussieux,B,01,84
01424,Tramoyes,R,01,84
01425,La Tranclière,R,01,84
01426,Val-Revermont,R,01,84
01427,Trévoux,B,01,84
01428,Valeins,R,01,84
01429,Vandeins,R,01,84
01430,Varambon,R,01,84
01431,Vaux-en-Bugey,R,01,84
01432,Verjon,R,01,84
01433,Vernoux,R,01,84
01434,Versailleux,R,01,84
01435,Versonnex,I,01,84
01436,Vesancy,R,01,84
01437,Vescours,R,01,84
01439,Vésines,R,01,84
01441,Vieu-d'Izenave,R,01,84
01443,Villars-les-Dombes,I,01,84
01444,Villebois,R,01,84
01445,Villemotier,R,01,84
01446,Villeneuve,R,01,84
01447,Villereversure,R,01,84
01448,Villes,R,01,84
01449,Villette-sur-Ain,R,01,84
01450,Villieu-Loyes-Mollon,I,01,84
01451,Viriat,B,01,84
01452,Virieu-le-Grand,R,01,84
01453,Arvière-en-Valromey,R,01,84
01454,Virignin,R,01,84
01456,Vongnes,R,01,84
01457,Vonnas,I,01,84
02001,Abbécourt,R,02,32
02002,Achery,R,02,32
02003,Acy,R,02,32
02004,Agnicourt-et-Séchelles,R,02,32
02005,Aguilcourt,R,02,32
02006,Aisonville-et-Bernoville,R,02,32
02007,Aizelles,R,02,32
02008,Aizy-Jouy,R,02,32
02009,Alaincourt,R,02,32
02010,Allemant,R,02,32
02011,Ambleny,R,02,32
02012,Ambrief,R,02,32
02013,Amifontaine,R,02,32
02014,Amigny-Rouy,R,02,32
02015,Ancienville,R,02,32
02016,Andelain,B,02,32
02017,Anguilcourt-le-Sart,R,02,32
02018,Anizy-le-Grand,C,02,32
02019,Annois,R,02,32
02020,Any-Martin-Rieux,R,02,32
02021,Archon,R,02,32
02022,Arcy-Sainte-Restitue,R,02,32
02023,Armentières-sur-Ourcq,R,02,32
02024,Arrancy,R,02,32
02025,Artemps,R,02,32
02027,Assis-sur-Serre,R,02,32
02028,Athies-sous-Laon,B,02,32
02029,Attilly,R,02,32
02030,Aubencheul-aux-Bois,R,02,32
02031,Aubenton,R,02,32
02032,Aubigny-aux-Kaisnes,R,02,32
02033,Aubigny-en-Laonnois,R,02,32
02034,Audignicourt,R,02,32
02035,Audigny,R,02,32
02036,Augy,R,02,32
02037,Aulnois-sous-Laon,R,02,32
02038,Les Autels,R,02,32
02039,Autremencourt,R,02,32
